职位名,公司名,工作地点,薪资,发布时间
Java开发工程师,深圳一起秀信息科技有限公司,深圳,1-2万/月,05-19
Java开发工程师,深圳市盛讯达科技股份有限公司,深圳-福田区,1.2-1.6万/月,05-19
java开发工程师（北京）,深圳市源极光科技有限公司,异地招聘,1-1.8万/月,05-19
Java高级开发工程师,深圳市全民点游科技有限公司,深圳-南山区,1.8-3万/月,05-19
高级java开发工程师,深圳华南城网科技有限公司,深圳,1.8-2.8万/月,05-19
Java高级开发工程师,深圳和创财务代理有限公司,深圳-龙岗区,1-1.5万/月,05-19
高级Java开发工程师,深圳唐恩科技有限公司,深圳,0.8-1.5万/月,05-19
Java高级开发工程师,深圳市尚美女人心实业有限公司,深圳-龙岗区,1.5-2万/月,05-19
Java web高级工程师,深圳市前海谷雨网络科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发工程师,深圳市天河万象网络科技有限公司,深圳,0.5-1万/月,05-19
Java开发工程师,深圳市享多多网络技术有限公司,深圳,1-2万/月,05-19
Java初级开发工程师,深圳市芒柠科技有限公司,深圳-宝安区,0.6-1万/月,05-19
中级Java工程师,深圳市优加互联科技有限公司,深圳-南山区,1-2万/月,05-19
JAVA技术主管/经理,深圳众人云计算科技有限公司,深圳-龙岗区,2-2.5万/月,05-19
Java开发工程师,深圳市沃特沃德股份有限公司,深圳-南山区,0.8-1.3万/月,05-19
java开发程序员,深圳市龙飞祥供应链有限公司,深圳-龙岗区,6-8千/月,05-19
Java开发工程师,深圳市易达计算机系统有限公司,深圳-龙华新区,0.3-1.5万/月,05-19
Java高级开发工程师,深圳信真科技有限公司,深圳-南山区,1.8-3万/月,05-19
Java开发工程师,深圳蓝图汽车服务有限公司,深圳-福田区,1-1.5万/月,05-19
Java高级开发工程师,通用（深圳）仪器有限公司,深圳,1-1.5万/月,05-19
Java开发经理,深圳市宝晟互联信息技术有限公司,深圳-龙华新区,1-1.5万/月,05-19
Java开发工程师,卷皮网,深圳,1-1.5万/月,05-19
Java开发工程师,北京海数宝科技有限公司,深圳-福田区,1-1.5万/月,05-19
Java开发工程师,玉禾田环境发展集团股份有限公司,深圳-福田区,0.8-1.5万/月,05-19
java开发工程师,深圳市新常态金服科技有限公司,深圳-南山区,1.2-1.8万/月,05-19
Java中级开发工程师（地址：佛山）,佛山市顺德区智谷数码科技有限公司,异地招聘,1-1.5万/月,05-19
初级Java/Android移动开发助理（人才储备）,深圳市鸿平网络科技有限公司,深圳-龙岗区,3-5.3千/月,05-19
java软件工程师,艾伯资讯（深圳）有限公司,深圳-南山区,5-7千/月,05-19
Java高级开发工程师,深圳市永祥药房连锁有限公司,深圳-龙岗区,1.2-2.5万/月,05-19
Java开发工程师,深圳市万连软件有限公司,深圳-龙岗区,0.8-1.5万/月,05-19
Java中高级开发工程师,深圳维拉假日科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
赴日本IT工程师Java/c++编程开发,青岛知行国际经济技术合作有限公司,异地招聘,1.5-3万/月,05-19
java后台开发工程师,深圳智芯数据服务有限公司,深圳-宝安区,0.7-1万/月,05-19
Java开发工程师,深圳市华正商旅国际旅行社有限公司,深圳-福田区,1.5-2万/月,05-19
JAVA开发工程师（高级）,佳峰投资控股集团有限公司,深圳-罗湖区,1-2万/月,05-19
java后端开发工程师,深圳市盈和信息科技有限公司,深圳-南山区,1-1.5万/月,05-19
JAVA,深圳市今日财富信息技术有限公司,深圳-福田区,1-1.5万/月,05-19
